"","week","category_id","year","total_sales","avg_sales"
"705","02",95086,2017,1739,1726.5
"706","02",95086,2016,1714,1726.5
"707","02",95087,2017,556,380
"708","02",95087,2016,204,380
"709","02",95088,2017,167,172.5
"710","02",95088,2016,178,172.5
"711","02",95089,2017,549,507.5
"712","02",95089,2016,466,507.5
"713","02",95090,2017,233,150
"714","02",95090,2016,67,150
"715","02",95091,2017,105,95
"716","02",95091,2016,85,95
"717","02",95176,2017,105,99.5
"718","02",95176,2016,94,99.5
"719","02",95183,2017,161,158.5
"720","02",95183,2016,156,158.5
"721","02",95184,2016,132,131.5
"722","02",95184,2017,131,131.5
"723","02",95191,2017,16,16
"724","02",95192,2017,119,103.5
"725","02",95192,2016,88,103.5
"726","02",95200,2017,81,81
"727","02",95201,2017,12,12
"728","02",95226,2017,37,38.5
"729","02",95226,2016,40,38.5
"730","02",95237,2017,1,1
"731","02",95238,2017,24,16
"732","02",95238,2016,8,16
"733","02",95249,2016,54,54
"734","02",95249,2017,54,54
"735","02",95250,2016,6,6
"736","02",95250,2017,6,6
"737","02",95252,2017,7,5.5
"738","02",95252,2016,4,5.5
"739","02",95253,2017,409,396.5
"740","02",95253,2016,384,396.5
"741","02",95254,2017,663,529.5
"742","02",95254,2016,396,529.5
"743","02",95256,2017,26,26
"744","02",95260,2016,2,2.5
"745","02",95260,2017,3,2.5
"746","02",95265,2017,1,1
"747","02",95267,2016,3,3
"748","02",95270,2016,1,1
"749","02",95288,2017,14,10.5
"750","02",95288,2016,7,10.5
"751","02",95384,2017,343,194.5
"752","02",95384,2016,46,194.5
"753","02",95385,2017,497,272
"754","02",95385,2016,47,272
"755","02",95387,2017,1044,523
"756","02",95387,2016,2,523
"757","02",95388,2017,608,319
"758","02",95388,2016,30,319
"759","02",95396,2016,37,36
"760","02",95396,2017,35,36
"761","02",95397,2017,4,4
"762","02",95400,2017,718,523
"763","02",95400,2016,328,523
"764","02",95402,2017,3763,3433.5
"765","02",95402,2016,3104,3433.5
"766","02",95405,2017,819,752
"767","02",95405,2016,685,752
"768","02",95414,2017,21,15
"769","02",95414,2016,9,15
"770","02",95416,2016,2,1.5
"771","02",95416,2017,1,1.5
"772","02",95419,2017,5,7
"773","02",95419,2016,9,7
"774","02",95420,2017,1,1
"775","02",95421,2017,5,4
"776","02",95421,2016,3,4
"777","02",95422,2016,9,8
"778","02",95422,2017,7,8
"779","02",95423,2017,11,8
"780","02",95423,2016,5,8
"781","02",95424,2017,19,19
"782","02",95425,2017,5,5
"783","02",95427,2016,2,2
"784","02",95432,2017,11,8.5
"785","02",95432,2016,6,8.5
"786","02",95433,2016,31,40.5
"787","02",95433,2017,50,40.5
"788","02",95434,2016,7,11
"789","02",95434,2017,15,11
"790","02",95435,2016,31,43
"791","02",95435,2017,55,43
"792","02",95436,2017,94,64.5
"793","02",95436,2016,35,64.5
"794","02",95437,2017,192,165
"795","02",95437,2016,138,165
"796","02",95468,2016,34,35.5
"797","02",95468,2017,37,35.5
"798","02",95469,2017,136,90
"799","02",95469,2016,44,90
"800","02",95470,2017,407,409.5
"801","02",95470,2016,412,409.5
"802","02",95475,2017,114,84
"803","02",95475,2016,54,84
"804","02",95566,2016,55,51.5
"805","02",95566,2017,48,51.5
"806","02",95567,2017,13,29.5
"807","02",95567,2016,46,29.5
"808","02",95568,2017,6,42
"809","02",95568,2016,78,42
"810","02",95569,2017,10,9
"811","02",95569,2016,8,9
"812","02",95570,2017,58,36
"813","02",95570,2016,14,36
"814","02",95571,2017,1,1.5
"815","02",95571,2016,2,1.5
"816","02",95581,2017,1,1.5
"817","02",95581,2016,2,1.5
"818","02",95593,2016,598,587
"819","02",95593,2017,576,587
"820","02",95594,2017,1762,1519
"821","02",95594,2016,1276,1519
"822","02",95595,2017,6865,6739
"823","02",95595,2016,6613,6739
"824","02",95599,2016,5,4.5
"825","02",95599,2017,4,4.5
"826","02",95603,2017,850,744
"827","02",95603,2016,638,744
"828","02",95604,2016,9,23.5
"829","02",95604,2017,38,23.5
"830","02",95607,2017,19,20
"831","02",95607,2016,21,20
"832","02",95609,2017,6,7
"833","02",95609,2016,8,7
"834","02",95612,2016,10,10
"835","02",95612,2017,10,10
"836","02",95613,2017,5,4.5
"837","02",95613,2016,4,4.5
"838","02",95614,2016,2,1.5
"839","02",95614,2017,1,1.5
"840","02",95615,2017,43,41.5
"841","02",95615,2016,40,41.5
"842","02",95619,2017,7,4.5
"843","02",95619,2016,2,4.5
"844","02",95620,2017,84,69.5
"845","02",95620,2016,55,69.5
"846","02",95622,2017,44,74.5
"847","02",95622,2016,105,74.5
"848","02",95637,2017,4,5
"849","02",95637,2016,6,5
"850","02",95640,2017,395,377
